0.00000000000e+00 2.67588984016e+07 2.33117452961e-07
1.00000000000e-01 2.89480445093e+07 2.52711667197e-07
2.00000000000e-01 3.10778032513e+07 2.71617340734e-07
3.00000000000e-01 3.31296639839e+07 2.89870725193e-07
4.00000000000e-01 3.51009946833e+07 3.07383773145e-07
5.00000000000e-01 3.69792224533e+07 3.24120232055e-07
6.00000000000e-01 3.87684519889e+07 3.40098176917e-07
7.00000000000e-01 4.04665816139e+07 3.55351995254e-07
8.00000000000e-01 4.20903904255e+07 3.69965759204e-07
9.00000000000e-01 4.36429407470e+07 3.84017700406e-07
1.00000000000e+00 4.51357264034e+07 3.97620106693e-07
